record _id__id_enregistrement,year__année,month__mois,day__jours,age__âge,forklength__longeur_fourche
221,1981,5,12,3,41.5
222,1981,5,12,3,42
223,1981,5,12,3,42.2
224,1981,5,12,3,43.5
225,1981,5,12,7,52
226,1982,5,13,4,53
227,1982,5,17,4,49
228,1982,5,18,4,39
229,1982,5,19,4,41.4
230,1982,5,19,4,52
231,1982,5,20,4,34.5
232,1982,5,20,4,38.5
233,1982,5,20,4,39.1
234,1990,5,23,3,37.6
235,1990,5,23,3,39.4
236,1990,5,24,4,45
237,1990,5,24,12,70.5
238,1990,6,12,3,39.6
239,1990,6,16,3,37.9
240,1990,6,25,2,28.3
241,1990,6,27,2,29.6
242,1992,5,20,5,55
243,1992,5,21,3,39.6
244,1992,5,23,3,38.9
245,1992,5,24,5,48.4
246,1992,5,24,7,53.4
247,1992,5,24,5,53.5
248,1992,5,24,6,59
249,1992,5,26,3,37.4
250,1992,5,26,3,38.5
251,1992,5,26,3,40.8
252,1992,5,26,4,47.2
253,1992,5,26,5,51
254,1992,5,26,5,52.9
255,1992,5,26,5,53.2
256,1992,5,26,5,54.1
257,1992,5,26,5,54.2
258,1992,5,26,5,54.8
259,1992,5,26,5,55.4
260,1992,5,26,6,55.7
261,1992,5,26,6,56.6
262,1992,5,26,5,57.7
263,1992,5,26,7,60.9
264,1992,5,26,10,64.5
265,1992,5,26,7,64.5
266,1992,5,26,7,64.7
267,1992,5,26,14,66.5
268,1992,5,26,13,70.1
269,1992,5,26,14,77.6
270,1992,5,26,14,78.4
271,1992,5,27,2,29.5
272,1992,5,27,2,29.7
273,1992,5,27,3,41.1
274,1992,6,1,2,27.6
275,1992,6,5,2,26.6
276,1992,6,5,2,26.8
277,1992,6,5,2,28.4
278,1992,6,5,2,28.9
279,1993,6,3,2,22.3
280,1993,6,3,2,23.1
281,1993,6,3,2,23.5
282,1993,6,3,2,23.7
283,1993,6,3,2,24
284,1993,6,3,2,24.3
285,1993,6,3,2,24.4
286,1993,6,3,2,24.7
287,1993,6,3,2,24.8
288,1993,6,3,2,24.9
289,1993,6,3,2,24.9
290,1993,6,3,2,24.9
291,1993,6,3,2,25.1
292,1993,6,3,2,25.5
293,1993,6,3,2,25.6
294,1993,6,3,2,25.7
295,1993,6,3,2,25.7
296,1993,6,3,2,25.7
297,1993,6,3,2,25.7
298,1993,6,3,2,25.8
299,1993,6,3,2,26.1
300,1993,6,3,2,26.2
301,1993,6,3,2,26.3
302,1993,6,3,2,26.3
303,1993,6,3,2,27.1
304,1993,6,3,2,27.4
305,1993,6,3,2,27.5
306,1993,6,3,2,27.9
307,1993,6,4,2,31.3
308,1993,6,4,2,31.6
309,1993,6,5,2,23.5
310,1993,6,5,2,24
311,1993,6,5,2,25.2
312,1993,6,5,2,26.6
313,1993,6,5,2,31.1
314,1993,6,5,3,36
315,1993,6,5,3,39.5
316,1993,6,6,2,24.8
317,1993,6,6,2,26
318,1993,6,6,2,26.2
319,1993,6,6,2,26.2
320,1993,6,6,2,26.5
321,1993,6,6,2,28.6
322,1993,6,6,2,28.8
323,1993,6,6,2,29.1
324,1993,6,6,3,35.3
325,1993,6,8,2,23.7
326,1993,6,8,2,23.9
327,1993,6,8,2,24.2
328,1993,6,8,2,25.8
329,1993,6,8,2,25.8
330,1993,6,8,2,26
331,1993,6,8,2,26
332,1993,6,8,2,26.2
333,1993,6,8,2,26.5
334,1993,6,8,2,26.7
335,1993,6,8,2,27
336,1993,6,8,2,27.6
337,1993,6,8,2,27.8
338,1993,6,8,2,28.5
339,1993,6,8,2,29
340,1993,6,8,2,31.1
341,1993,6,8,2,31.5
342,1993,6,10,2,26.7
343,1993,6,10,3,37
344,1993,6,12,2,22.5
345,1993,6,12,2,23.7
346,1993,6,12,2,23.8
347,1993,6,12,2,24.2
348,1993,6,12,2,26.4
349,1993,6,12,2,26.8
350,1993,6,12,2,27.3
351,1993,6,12,2,27.6
352,1993,6,12,2,27.7
353,1993,6,12,2,27.7
354,1993,6,12,2,27.8
355,1993,6,12,2,28
356,1993,6,12,2,29
357,1993,6,12,2,29.2
